american_alligator,asian_elephant,axolotl,black_iguana,blue_macaw,coyote,crested_caracara,green_turtle,ocelot,resplendent_quetzal,BIOME,BIO1,BIO4,BIO5,BIO6,BIO12,BIO15,BIO17,BIO18
0,0,0,0,0,1,0,0,0,0,5.0,-2.0959337506975446,762.6999441964285,13.017837960379465,-15.900216238839286,1725.5142857142857,30.243718610491072,293.8,419.9714285714286
0,0,0,0,0,1,0,0,0,0,11.0,-2.0959337506975446,762.6999441964285,13.017837960379465,-15.900216238839286,1725.5142857142857,30.243718610491072,293.8,419.9714285714286
0,0,0,0,0,1,0,0,0,0,11.0,-5.18016857571072,1477.9537760416667,21.042883978949654,-30.257314046223957,254.88888888888889,85.91632758246527,18.0,151.05555555555554
0,0,0,0,0,1,0,0,0,0,6.0,-5.18016857571072,1477.9537760416667,21.042883978949654,-30.257314046223957,254.88888888888889,85.91632758246527,18.0,151.05555555555554
0,0,0,0,0,1,0,0,0,0,11.0,-5.378732469346788,1391.717556423611,19.102310180664062,-29.629228379991318,409.5,71.52474636501736,43.833333333333336,213.02777777777777
0,0,0,0,0,1,0,0,0,0,6.0,-5.378732469346788,1391.717556423611,19.102310180664062,-29.629228379991318,409.5,71.52474636501736,43.833333333333336,213.02777777777777
0,0,0,0,0,1,0,0,0,0,11.0,-5.040848626030816,1441.857421875,19.79397243923611,-30.488450792100693,396.6388888888889,74.18726942274306,39.69444444444444,212.30555555555554
0,0,0,0,0,1,0,0,0,0,5.0,2.0976688067118325,698.9083658854166,15.317253112792969,-10.961437225341797,2939.125,35.19921875,482.7083333333333,548.9166666666666
0,0,0,0,0,1,0,0,0,0,11.0,2.0976688067118325,698.9083658854166,15.317253112792969,-10.961437225341797,2939.125,35.19921875,482.7083333333333,548.9166666666666
0,0,0,0,0,1,0,0,0,0,11.0,-5.362864176432292,1502.115234375,20.903527153862846,-30.950456407335068,312.6388888888889,64.28555636935764,27.97222222222222,155.72222222222223
0,0,0,0,0,1,0,0,0,0,11.0,-6.934143490261501,1426.8444010416667,19.23329840766059,-30.80773247612847,332.25,60.15283881293403,34.52777777777778,162.19444444444446
0,0,0,0,0,1,0,0,0,0,6.0,-5.5091747707790795,885.3984917534722,11.631236606174046,-22.004291110568577,746.5,32.352993435329864,119.36111111111111,243.69444444444446
0,0,0,0,0,1,0,0,0,0,11.0,-5.5091747707790795,885.3984917534722,11.631236606174046,-22.004291110568577,746.5,32.352993435329864,119.36111111111111,243.69444444444446
0,0,0,0,0,1,0,0,0,0,11.0,-4.9369689093695746,1158.8057725694443,16.707528008355034,-26.32634819878472,341.55555555555554,65.04022216796875,41.638888888888886,172.27777777777777
0,0,0,0,0,1,0,0,0,0,11.0,-4.973744286431207,1454.9233940972222,21.118972778320312,-30.927439371744793,327.94444444444446,53.54899766710069,33.388888888888886,147.16666666666666
0,0,0,0,0,1,0,0,0,0,6.0,-4.973744286431207,1454.9233940972222,21.118972778320312,-30.927439371744793,327.94444444444446,53.54899766710069,33.388888888888886,147.16666666666666
0,0,0,0,0,1,0,0,0,0,11.0,-7.240465799967448,1340.654079861111,18.19341532389323,-30.507548014322918,384.8888888888889,52.90204874674479,47.0,175.44444444444446
0,0,0,0,0,1,0,0,0,0,6.0,-2.849949730767144,1008.1950954861111,16.69094509548611,-22.08521016438802,506.1666666666667,34.76220024956597,69.72222222222223,161.5
0,0,0,0,0,1,0,0,0,0,11.0,-2.849949730767144,1008.1950954861111,16.69094509548611,-22.08521016438802,506.1666666666667,34.76220024956597,69.72222222222223,161.5
0,0,0,0,0,1,0,0,0,0,6.0,-2.471570120917426,984.0483940972222,17.090867784288193,-21.697063869900173,415.77777777777777,40.201209174262154,48.25,136.66666666666666
0,0,0,0,0,1,0,0,0,0,11.0,-2.471570120917426,984.0483940972222,17.090867784288193,-21.697063869900173,415.77777777777777,40.201209174262154,48.25,136.66666666666666
0,0,0,0,0,1,0,0,0,0,11.0,-3.9239395989312067,1390.5131293402778,20.765655517578125,-30.40704345703125,278.69444444444446,65.48139105902777,24.694444444444443,138.69444444444446
